description,category
Spent $25 on sushi at Tokyo Dining,Food
Grabbed a coffee at Starbucks,Food
Lunch at the office cafeteria,Food
Ordered pizza from Domino's,Food
Bought groceries at Whole Foods,Food
Dinner with friends at an Italian restaurant,Food
Bought a sandwich from Subway,Food
Weekly grocery run at Trader Joe's,Food
Late night snack from 7-Eleven,Food
Brunch at a cafe downtown,Food
Bought fruits and vegetables at the local market,Food
Ordered biryani from Zomato,Food
Ice cream with the kids,Food
Bought bread and eggs at the grocery store,Food
Dinner at McDonald's drive-thru,Food
Paid for a birthday cake from the bakery,Food
Coffee and pastry at a local cafe,Food
Bought snacks for the movie night,Food
Ordered Thai food for delivery,Food
Grocery shopping at Costco,Food
Uber ride to the airport,Transport
Filled up gas at Shell,Transport
Paid for a monthly metro pass,Transport
Taxi ride home from downtown,Transport
Parking fee at the mall,Transport
Bought a train ticket to the city,Transport
Lyft ride to work,Transport
Paid for car service and oil change,Transport
Bus fare for the week,Transport
Toll charges on the highway,Transport
Rented a car for the weekend trip,Transport
Paid for airport parking,Transport
Bike repair at the local shop,Transport
Flight ticket to Chicago,Transport
Auto rickshaw fare to the market,Transport
Paid for vehicle registration renewal,Transport
Netflix monthly subscription,Entertainment
Bought tickets for the movie theater,Entertainment
Spotify premium subscription,Entertainment
Tickets to a concert this weekend,Entertainment
Paid for a video game on Steam,Entertainment
Amusement park entry tickets,Entertainment
Subscribed to Disney Plus,Entertainment
Bowling night with friends,Entertainment
Bought a book from the bookstore,Entertainment
Paid for a museum entry ticket,Entertainment
Tickets to a football match,Entertainment
YouTube Premium subscription renewal,Entertainment
Karaoke night with colleagues,Entertainment
Paid for an escape room experience,Entertainment
Bought a board game for game night,Entertainment
Electricity bill payment,Bills
Paid the monthly rent,Bills
Internet bill for the month,Bills
Water bill payment,Bills
Phone bill for this month,Bills
Paid the gas utility bill,Bills
Health insurance premium payment,Bills
Paid the credit card bill,Bills
Home insurance renewal,Bills
Monthly gym membership fee,Bills
Cable TV subscription payment,Bills
Paid property tax installment,Bills
Car insurance premium,Bills
Student loan payment,Bills
Paid the electricity bill late fee,Bills
Bought a new pair of shoes,Shopping
Ordered a jacket from Amazon,Shopping
Bought a new laptop bag,Shopping
Shopping for clothes at the mall,Shopping
Bought a birthday gift for a friend,Shopping
Purchased new headphones,Shopping
Bought furniture for the living room,Shopping
New phone case from an online store,Shopping
Bought a watch as a gift,Shopping
Home decor items from IKEA,Shopping
Bought a new backpack for travel,Shopping
Purchased a skincare set,Shopping
Bought kitchen appliances,Shopping
New bedsheets and pillows,Shopping
Bought a gift card for a friend,Shopping
Earned $450 from Upwork freelance project,Income
Received salary for the month,Income
Got paid for a freelance design project,Income
Cashback reward credited to account,Income
Received a refund from an online store,Income
Sold an old phone on OLX,Income
Received rental income from tenant,Income
Got a bonus from work,Income
Received payment for consulting work,Income
Dividend payout from stocks,Income
Received money as a birthday gift,Income
Freelance writing payment received,Income
Interest earned on savings account,Income
Received reimbursement from employer,Income
Sold furniture on Facebook Marketplace,Income
Paid Raj back for dinner last week,Other
Donated to a local charity,Other
Sent money to family,Other
ATM withdrawal,Other
Paid membership fee for a club,Other
Bank service charge,Other
Transferred money to savings account,Other
Paid a fine for late library return,Other
Lent money to a friend,Other
Miscellaneous cash expense,Other
Paid for a haircut,Other
Vet visit for the dog,Other
School supplies for the kids,Other
Paid for a home repair service,Other
Donation to a crowdfunding campaign,Other
